02-11 23:35:24.827 14325 14325 I Finsky  : [2] VerifyApps: Install-time verification requested for package com.sokol.MediaPipeTest, PackageManager id = 45, Verifier id = d34436c0-6fe8-4f35-bce0-3f3e34abfe47
02-11 23:35:24.831  9500  9500 I GOS:GameServiceReceiver:  PkgInstallStarted for com.sokol.MediaPipeTest UserID : 0
02-11 23:35:24.839  9500 21087 I GOS:MainIntentService: onHandleIntent(). type(PACKAGE_CHANGED), changeType(INSTALL_STARTED), pkgName(com.sokol.MediaPipeTest)
02-11 23:35:24.839  9500 21087 I GOS:SystemEventReactor: onPackageInstallStarted(). packageName: com.sokol.MediaPipeTest
02-11 23:35:24.839  9500 21087 I GOS:SystemEventReactor: addPkgDataFromServer(), packageName : com.sokol.MediaPipeTest
02-11 23:35:24.854 14325 21086 I Finsky  : [1335] VerifyApps: Anti-malware verification task started for package=com.sokol.MediaPipeTest
02-11 23:35:24.881  9500 21087 I GOS:NetworkConnector: getSinglePkg(), packageName : com.sokol.MediaPipeTest
02-11 23:35:24.893 14325 21086 I Finsky  : [1335] VerifyApps: chooseScanResult for package=com.sokol.MediaPipeTest with timeout=15000ms
02-11 23:35:24.894 14325 14368 I Finsky  : [946] VerifyApps: Starting APK Analysis scan for com.sokol.MediaPipeTest.
02-11 23:35:24.894 14325 14368 I Finsky  : [946] Scanning package com.sokol.MediaPipeTest contents with client side protections. File: [f1dRF7nnlVO2kXBDoexMXwJd7M2HzKwvqdRNagKNZlM]
02-11 23:35:25.030 14325 21108 I Finsky  : [1339] VerifyApps: Verification package=com.sokol.MediaPipeTest, id=45, response=0, upload_requested=false, enable_ecm=false
02-11 23:35:25.034 14325 21108 I Finsky  : [1339] VerifyApps: PAM result saving to datastore delayed for package: com.sokol.MediaPipeTest
02-11 23:35:25.116 14325 14367 I Finsky  : [945] VerifyApps: APK Analysis scan finished for com.sokol.MediaPipeTest. Verdict: SAFE
02-11 23:35:25.116 14325 21086 I Finsky  : [1335] VerifyApps: ScanResultPicker returned for package=com.sokol.MediaPipeTest: SAFE
02-11 23:35:25.117 14325 21086 I Finsky  : [1335] VerifyApps: chooseScanResult returning verdict SAFE for package=com.sokol.MediaPipeTest
02-11 23:35:25.123  1527  1603 I PackageManager:           pkg{com.sokol.MediaPipeTest}
02-11 23:35:25.123 14325 14325 I Finsky  : [2] VerifyApps: Install-time verification complete: id=45, package_name=com.sokol.MediaPipeTest
02-11 23:35:25.156  1527  1558 I ActivityManager: Force stopping com.sokol.MediaPipeTest appid=10618 user=-1: installPackageLI
02-11 23:35:25.157  1527  1602 I PackageManager: Update package com.sokol.MediaPipeTest code path from /data/app/~~d-x9Evx8z7bWtXVttXxcDA==/com.sokol.MediaPipeTest-oElaLg0F8Mb6OdDquKuDQA== to /data/app/~~A4ZAA185VbjSsHUqaVgbmg==/com.sokol.MediaPipeTest-pd0DogS6HqA_gAnvvCy-Uw==; Retain data and using new
02-11 23:35:25.158  1527  1558 I ActivityManager: Killing 20975:com.sokol.MediaPipeTest/u0a618 (adj 0): stop com.sokol.MediaPipeTest due to installPackageLI
02-11 23:35:25.158  1527  1558 D ActivityManager: proc ProcessRecord{3c0cf07 20975:com.sokol.MediaPipeTest/u0a618} already removed. so we skip next process.
02-11 23:35:25.159  1527  1602 I AppsFilter: interaction: PackageSetting{52ea074 com.google.android.filament.gltf/10217} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.159  1527  1602 I AppsFilter: interaction: PackageSetting{1e9ae12 com.example.gotdottest/10267} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.159  1527  1602 I AppsFilter: interaction: PackageSetting{774c9e3 com.example.gtaminigame/10319} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.159  1527  1558 W ActivityTaskManager: Force removing ActivityRecord{6f4fe70 u0 com.sokol.MediaPipeTest/com.sokol.app.SokolNativeActivity t801 f}}: app died, no saved state
02-11 23:35:25.159  1527  1602 I AppsFilter: interaction: PackageSetting{acf4fe0 com.example.yourfirst3dgamewithgodot4gdquest/10214} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.159  1527  1602 I AppsFilter: interaction: PackageSetting{bdb7299 com.google.android.filament.litcube/10265} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{4b0995e com.example.gltfdebug/10411} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{aa0213f com.example.gles2test/10329} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{6098a0c com.elix22.controlloer3d/10286} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{b679f55 com.elix22.runner/10269} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{e68ed6a com.example.godoteasyvehiclephysics/10299} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{4ff925b com.elix22.lights/10235} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{ccb3af8 com.example.roborampage/10330} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{24fdbd1 com.example.godotroadgenerator/10311} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
